"","Tpre","DDpre","Tspawn","DDspawn","DDegg","MLDegg","CSTeggn","CSTeggs","LSTegg","PUTegg","DDyolk","MLDyolk","CSTyolkn","CSTyolks","LSTyolk","PUTyolk","DDlarv","MLDlarv","LSTlarv","DDlate","MLDlate","CSTlaten","CSTlates","LSTlate","PUTlate","DDpjuv","MLDpjuv","CSTpjuvn","CSTpjuvs","LSTpjuv","PUTpjuv","SSHjas","SSHjac","SSHmss","SSHmsc","SSHjas.pre","SSHjac.pre","SSHmsc.pre","SSHmsn.pre","year","type","Y_rec","sd"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970,"Main_RecrDev",2.30702,0.266986858
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1971,"Main_RecrDev",-0.0673762,0.837473001
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1972,"Main_RecrDev",-0.530829,0.791141557
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973,"Main_RecrDev",1.877825,0.249198284
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974,"Main_RecrDev",-0.978963,0.870550053
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1975,"Main_RecrDev",0.68569,0.291554389
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1976,"Main_RecrDev",-1.53336,0.87801099
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1977,"Main_RecrDev",1.968715,0.239188005
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1978,"Main_RecrDev",-1.946,0.896944908
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1979,"Main_RecrDev",0.394847,0.400025995
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1980,"Main_RecrDev",2.916465,0.215362807
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981,"Main_RecrDev",-1.26547,0.875154805
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,"Main_RecrDev",-1.08601,0.714366603
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983,"Main_RecrDev",-0.5714255,0.669882516
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,"Main_RecrDev",2.68993,0.216081993
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985,"Main_RecrDev",-1.960035,0.843196966
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986,"Main_RecrDev",-1.65585,0.817550985
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,"Main_RecrDev",1.925175,0.234327392
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,"Main_RecrDev",0.7740345,0.322987322
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,"Main_RecrDev",-2.16418,0.818166536
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990,"Main_RecrDev",1.500465,0.235968286
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991,"Main_RecrDev",0.26308,0.358121595
"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992,"Main_RecrDev",-2.04296,0.854536511
"24",NA,NA,-0.388473997790129,-0.42144546659811,0.867239738518005,0.431212016671914,-1.39613303636449,-0.780843016686988,1.25513175616412,0.74812691275921,0.518197670951742,0.383526191630455,-0.378535027804045,0.397597408422956,-0.0410290139248568,0.269112514289086,0.196593947666405,0.0297210530665554,-0.541043836691568,-0.0202727305771261,-0.432658893637676,0.340013922462376,0.893025882839032,-0.641445681378345,-0.896859820775275,0.609244263865626,0.0176465314528867,0.451698812705688,0.842071674732279,-0.558812521722371,-0.804728704646097,0.590260386624459,1.13467537533211,0.233096304300257,0.464604426795382,NA,NA,NA,NA,1993,"Main_RecrDev",1.233055,0.232753684
"25",0.642322156538734,0.642322156369,-0.545639186947066,-0.578038111341647,0.773774723218795,0.47346066277396,0.192332336170752,1.36505403400634,-0.549387460034495,-0.131359074943533,0.689993847864436,0.620743621998573,0.673698380617711,1.43950695146207,-0.950940887815349,-0.599026172627134,0.222121804256397,0.367618213518409,-0.888925996841734,-0.180668661671412,-0.0636462728837298,0.73184657853752,0.398210187599224,-0.680798013278433,-0.628548934985824,-0.0878019373951688,0.964393810840461,0.967863122061826,0.816978724380345,-0.751637704488574,0.332114268561698,0.0251174358793914,-0.148008722836361,-0.66137049571822,-0.74365881611925,0.590260386624459,1.13467537533211,0.464604426795382,0.883772442959288,1994,"Main_RecrDev",1.26465,0.235726599
"26",-0.58959543659866,-0.589595436150073,0.197002000531548,0.16189768690571,0.535810493103882,-1.9990340394053,1.40408157712697,1.09867189847372,-1.53434243851467,-2.47467891831109,0.826774079780974,-1.76976952154235,2.16012048195047,1.72959288172351,-2.23312616274412,-2.62220146927743,0.660724358483763,-2.13486109546046,-2.2493022592177,0.126089345684574,-1.18155162928819,2.10474899161718,2.03343112064607,-2.273652738246,-1.92583669057958,-0.320457154132078,0.177797501385299,2.23697110456565,1.51408187766729,-2.21277308151409,-1.47300042555304,0.0701196486317337,0.388625780890386,-1.29715769875756,-1.17881404678697,0.0251174358793914,-0.148008722836361,-0.74365881611925,-0.0729062733573877,1995,"Main_RecrDev",0.3079695,0.287185332
"27",-0.451214008774166,-0.451214006905081,-0.625211795401137,-0.511204521800974,0.308286012659622,-1.25589801055761,1.37889151633802,0.924086220498605,-1.21270565354386,-0.489400456673815,0.280238728096042,-1.43403119525053,1.48401087825168,0.813848805150327,-1.0688297651121,-0.667089154782281,0.241465694021991,-2.00757183339187,-0.408970275676876,-0.0744988686000572,-1.86716101813708,0.864126386781813,0.563282548603985,-0.52355427466934,-1.26379353356724,0.278415717678002,-0.561915747445794,0.756385528708579,0.44313904209972,-0.908879589967325,-0.0213797575742054,-1.17582360227981,-0.544144939474141,-0.913949460692159,-1.15393323593244,0.0701196486317337,0.388625780890386,-1.17881404678697,-1.06109022850008,1996,"Main_RecrDev",0.6996405,0.247378357
"28",-0.556494519869884,-0.556494519541889,-1.28053812463306,-1.31025986783874,-0.277721451797589,-0.458214405712956,0.125690009359515,-1.57270514905377,0.712283830653002,1.03192845983665,-0.407706056146385,-0.314772889968996,0.0121662919228404,-1.66698020583914,1.03788949275776,0.94854992256673,-0.541983701614909,-0.160649149544096,1.77538649233667,-0.0851114171391932,-0.212097825191217,-1.55728416340406,-2.11528610039262,2.16015909577054,1.49937445133932,1.67045485668355,0.296275662883414,-1.77058360610181,-2.09824087790131,1.84556354495489,0.944623214884695,-0.915854961268812,-0.43972208694437,1.59376370900649,1.55546210277939,-1.17582360227981,-0.544144939474141,-1.15393323593244,-1.13785155598236,1997,"Main_RecrDev",0.101917,0.305877767
"29",0.704968736704676,0.704968735072954,2.9664753358889,2.92128203246739,2.51440714663997,3.8163462298097,2.83754589647676,1.6937832667587,-2.63367974871535,-2.82022347255829,3.43407585985163,3.86438806579719,2.77704896075618,2.56354207283185,-2.91900295211711,-3.13965593999977,3.26304526482317,3.10650447494947,-3.02149371200158,2.97644895089986,1.67342160479434,2.18803005494737,2.10159178741978,-2.20953542964464,-1.12178323961697,1.24177477955408,1.80154232730252,0.541625335267834,0.355529815237749,-0.611879575893286,-0.00233194195773062,1.72483374566412,1.88271009558627,0.274683229444526,0.410358644417686,-0.915854961268812,-0.43972208694437,1.55546210277939,2.40401620281873,1998,"Main_RecrDev",0.8010245,0.23634098
"30",1.6256294270207,1.62562942819763,-0.869532999603777,-0.900752007061802,-0.613983476822722,0.477238040876111,0.138802961590728,0.521592159554683,0.222086189512999,-0.14893874566872,-0.106363763512441,0.872863715090554,0.236333878014627,0.350181441526035,0.230170712302075,-0.0551562861755926,-0.385983316306809,1.68994517906017,0.341267919726365,-0.62529673404543,3.14047195390449,0.353292304528282,-0.182162397177024,0.195215712597051,0.625288518274666,-1.36867160941108,3.34477196886568,0.168441276143967,-0.633084002999375,-0.213134264101115,0.0514220709415374,-1.73245409748607,-1.78604744676668,-1.38763374722032,-1.38277758873947,1.72483374566412,1.88271009558627,0.410358644417686,-0.150791782682827,1999,"Main_RecrDev",2.68468,0.202953346
"31",-0.2701626873977,-0.270162688294339,-1.21210151728238,-1.1024534863057,-0.389355808560075,-0.654337008069324,0.126506074027485,-1.24848596802866,0.472169461223778,0.903865118594743,-0.451809987718635,-0.84197544416784,0.130372898919558,-1.00813240764636,0.167274310018408,0.888274071129143,-0.822091380749595,-0.906278212189707,0.206292828207575,-1.03548832043797,-0.615238584620671,0.376528005032265,-0.825193528973033,0.209907796654143,0.0924400482696922,-0.0823142621322488,-0.971147500149727,1.134243451811,1.45502984959803,-1.2050712378329,-0.709609622163762,-1.1361595620028,-0.750928622888275,-0.754233494006401,-0.782372798484162,-1.73245409748607,-1.78604744676668,-1.38277758873947,-1.30438250883182,2000,"Main_RecrDev",-1.05894,0.493807718
"32",-0.159491910019847,-0.159491910779385,-0.978671409105298,-1.0094928310878,-0.50042854383129,0.201785377911018,0.271906819959169,-0.392628420580795,0.151195066129564,0.43182510913841,-0.445525909532101,0.402820063271277,0.585841712457033,-0.175839174490873,0.012849563187883,0.47121103217164,-0.676112461405994,-0.470855510287757,0.0547426420899169,-0.761269010407,-0.550636199866403,0.157350724975445,-0.1133635110724,-0.259277025030484,-0.322756863990427,-0.367821305154051,1.20492694197358,0.366508358609533,0.145409194670023,-0.127373930832886,-1.14850854882618,-1.06037739178188,-1.09200792345829,-0.789899342931076,-1.11167956326299,-1.1361595620028,-0.750928622888275,-0.782372798484162,-0.600354121015947,2001,"Main_RecrDev",0.2921025,0.236061784
"33",-0.551872395966534,-0.551872396071676,0.269290325236956,0.233922670540603,-0.875888099270134,0.176890906158059,-1.24281657124153,-0.957280218603474,1.41304357925656,1.30587473696209,-0.585066441811473,-0.112383865702343,-1.0838778475033,-0.577696703871564,1.12098658896457,1.2733299603247,-0.315255903005733,-0.170718121257339,0.517165000851521,-0.0265637513494855,0.440936783134865,0.12545371558585,0.738645589768688,-0.400922265216147,0.376588018410889,-1.18991179610432,-0.950465987223656,1.05711407495805,0.749789011471236,-0.707010462587854,0.244352346028041,-1.03631324558128,-1.16778190282628,-1.11945025403792,-1.02474509464796,-1.06037739178188,-1.09200792345829,-1.11167956326299,-1.26554086193822,2002,"Main_RecrDev",-3.109825,0.560401217
"34",-1.40616956718338,-1.40616956706728,0.729956837516592,0.69291100936634,0.0202486317698415,-0.294114512322897,1.84375581879812,1.0004393223137,-1.52887963618447,-0.350739470120101,-0.218531190038612,-0.356602749358042,1.61745686696086,0.303673249563891,-1.04781743287911,0.0561552797511123,-0.115494556943296,0.410988096254535,-0.755287963214417,-0.451581416387533,0.337877108413233,1.73234770931055,0.112712044825998,-1.01956536250848,-0.56237618367474,-0.588440709197881,-0.742990745340208,1.405491867688,-0.169555092023438,-0.657596165301261,1.36079590659298,-0.353114412935151,-0.165044230050543,-0.637275493858284,-0.427994878098572,-1.03631324558128,-1.16778190282628,-1.02474509464796,-1.45614048782609,2003,"Main_RecrDev",0.572323,0.228231931
"35",-0.526236084953307,-0.526236084349395,0.280857629838685,0.401594920634688,-0.672219247561716,-0.422291837156668,0.854440729906258,0.191514108153428,-1.19772036646805,-0.25715831979395,-0.760111875246773,-0.590923392051401,0.729969690237148,-0.0562850717179016,-0.941665980971402,-0.247469453656861,-0.612930507704881,-0.490306274101708,-0.418670255953196,-0.931558550354197,-1.23998042237378,-0.0191508678889531,-0.481969609742972,0.217190777390076,0.3898229354166,-0.143063458109616,-1.04192741842627,0.386222308316251,-0.33525391451747,0.437632781163101,0.758082585022615,-0.221376871069497,0.0704637526128528,-0.125552721632731,0.0316019263194015,-0.353114412935151,-0.165044230050543,-0.427994878098572,-0.47030878987605,2004,"Main_RecrDev",-3.127965,0.615869402
