"","ModelID","species","RMSE_loo","dev.ex","AIC","Hit","variables","RMSE5","RMSE10"
"189",189,"Sablefish",1.788,0.2446,93.6266413705075,0.52,"CSTyolk DDpre Tspawn",1.212,1.239
"190",190,"Sablefish",1.79,0.1712,94.4567184614515,0.36,"CSTlarv DDpre Tspawn",1.457,1.32
"191",191,"Sablefish",1.677,0.2411,92.3091502866473,0.6,"CSTpjuv DDpre Tspawn",1.425,1.276
"192",192,"Sablefish",1.82,0.2913,91.1242983284867,0.44,"CSTbjuv DDpre Tspawn",1.787,1.368
"193",193,"Sablefish",1.706,0.1312,95.7822048617617,0.4,"DDpre DDyolk MLDegg",1.787,1.368
"194",194,"Sablefish",1.731,0.1193,96.0904680092394,0.44,"DDpre DDyolk LSTegg",1.787,1.368
"195",195,"Sablefish",1.816,0.1059,96.2289361507246,0.4,"DDpre DDyolk LSTyolk",1.787,1.368
"196",196,"Sablefish",1.701,0.1142,95.8268705148795,0.36,"DDpre DDyolk LSTlarv",1.487,1.388
"197",197,"Sablefish",1.701,0.213,93.851670027955,0.32,"CSTegg DDpre DDyolk",1.334,1.581
"198",198,"Sablefish",1.602,0.2671,93.2520651677412,0.52,"CSTyolk DDpre DDyolk",1.212,1.239
"199",199,"Sablefish",1.661,0.1672,94.5561958763457,0.4,"CSTlarv DDpre DDyolk",1.457,1.32
"200",200,"Sablefish",1.624,0.2003,93.5713126556067,0.48,"CSTpjuv DDpre DDyolk",1.425,1.276
"201",201,"Sablefish",1.703,0.2078,93.4136496179875,0.44,"CSTbjuv DDpre DDyolk",1.596,1.375
"202",202,"Sablefish",1.726,0.0587,96.8074752385148,0.44,"DDlarv DDpre MLDegg",1.596,1.375
"203",203,"Sablefish",1.712,0.0436,97.0452400921581,0.4,"DDlarv DDpre LSTegg",1.596,1.375
"204",204,"Sablefish",1.77,0.0546,96.7538859801576,0.36,"DDlarv DDpre LSTyolk",1.596,1.375
"205",205,"Sablefish",1.654,0.0758,96.1891600691862,0.4,"DDlarv DDpre LSTlarv",1.487,1.388
"206",206,"Sablefish",1.602,0.2007,93.8140505052537,0.36,"CSTegg DDlarv DDpre",1.334,1.581
"207",207,"Sablefish",1.652,0.1981,94.7339387194358,0.4,"CSTyolk DDlarv DDpre",1.212,1.239
"208",208,"Sablefish",1.627,0.11,95.2467314403557,0.4,"CSTlarv DDlarv DDpre",1.457,1.32
"209",209,"Sablefish",1.602,0.1484,94.2660714541037,0.48,"CSTpjuv DDlarv DDpre",1.425,1.276
"210",210,"Sablefish",1.695,0.2153,93.2045370879698,0.44,"CSTbjuv DDlarv DDpre",1.787,1.368
"211",211,"Sablefish",1.727,0.0573,96.6838867351056,0.44,"DDpre LSTyolk MLDegg",1.787,1.368
"212",212,"Sablefish",1.655,0.0758,96.1881801051208,0.4,"DDpre LSTlarv MLDegg",1.487,1.388
"213",213,"Sablefish",1.469,0.2682,91.8357412734383,0.28,"CSTegg DDpre MLDegg",1.334,1.581
"214",214,"Sablefish",1.595,0.1704,94.8640286367838,0.44,"CSTyolk DDpre MLDegg",1.212,1.239
"215",215,"Sablefish",1.592,0.1077,95.310386019593,0.44,"CSTlarv DDpre MLDegg",1.457,1.32
"216",216,"Sablefish",1.528,0.1522,94.032213098569,0.56,"CSTpjuv DDpre MLDegg",1.425,1.276
"217",217,"Sablefish",1.617,0.2542,92.1598873024874,0.4,"CSTbjuv DDpre MLDegg",1.487,1.388
"218",218,"Sablefish",1.594,0.1966,93.9744667562986,0.32,"CSTegg DDpre LSTegg",1.334,1.581
"219",219,"Sablefish",1.607,0.1673,94.9817220007192,0.4,"CSTyolk DDpre LSTegg",1.212,1.239
"220",220,"Sablefish",1.608,0.1031,95.4394522486175,0.44,"CSTlarv DDpre LSTegg",1.457,1.32
"221",221,"Sablefish",1.57,0.143,94.3006463142462,0.48,"CSTpjuv DDpre LSTegg",1.425,1.276
"222",222,"Sablefish",1.664,0.2065,93.5326288321303,0.44,"CSTbjuv DDpre LSTegg",1.487,1.388
"223",223,"Sablefish",1.603,0.2032,93.7173287925561,0.4,"CSTegg DDpre LSTyolk",1.334,1.581
"224",224,"Sablefish",1.709,0.1683,94.9088815080614,0.48,"CSTyolk DDpre LSTyolk",1.212,1.239
"225",225,"Sablefish",1.759,0.1059,95.3611896554579,0.32,"CSTlarv DDpre LSTyolk",1.457,1.32
"226",226,"Sablefish",1.716,0.1912,93.7014499466581,0.48,"CSTpjuv DDpre LSTyolk",1.425,1.276
"227",227,"Sablefish",1.689,0.202,93.6053591995713,0.44,"CSTbjuv DDpre LSTyolk",1.487,1.388
"228",228,"Sablefish",1.533,0.259,91.9978936461627,0.4,"CSTegg DDpre LSTlarv",1.334,1.581
"229",229,"Sablefish",1.579,0.191,94.2362580864085,0.56,"CSTyolk DDpre LSTlarv",1.212,1.239
"230",230,"Sablefish",1.623,0.112,95.1882068043312,0.48,"CSTlarv DDpre LSTlarv",1.457,1.32
"231",231,"Sablefish",1.626,0.1724,93.757771934914,0.48,"CSTpjuv DDpre LSTlarv",1.425,1.276
"232",232,"Sablefish",1.651,0.216,93.066067676185,0.44,"CSTbjuv DDpre LSTlarv",1.487,1.388
"233",233,"Sablefish",1.54,0.2453,91.6301917683669,0.52,"CSTegg CSTpjuv DDpre",1.425,1.276
"234",234,"Sablefish",1.852,0.3225,90.6967975600478,0.48,"CSTbjuv CSTegg DDpre",1.457,1.32
"235",235,"Sablefish",1.57,0.248,93.1568111432029,0.44,"CSTpjuv CSTyolk DDpre",1.425,1.276
"236",236,"Sablefish",1.643,0.3416,90.3534581097179,0.44,"CSTbjuv CSTyolk DDpre",1.425,1.276
"237",237,"Sablefish",1.642,0.2534,91.8162733150116,0.48,"CSTbjuv CSTlarv DDpre",1.783,1.463
"238",238,"Sablefish",2.245,0.1447,94.251089371498,0.52,"DDpjuv Tpre Tspawn",1.482,1.311
"239",239,"Sablefish",2.004,0.1462,95.4083936254309,0.44,"DDbjuv Tpre Tspawn",1.291,1.209
"240",240,"Sablefish",1.726,0.0613,96.5761643417247,0.44,"LSTegg Tpre Tspawn",1.328,1.356
"241",241,"Sablefish",1.716,0.0726,96.2744549425798,0.4,"LSTyolk Tpre Tspawn",1.336,1.183
"242",242,"Sablefish",1.679,0.1082,95.2957561353201,0.44,"LSTlarv Tpre Tspawn",1.195,1.066
"243",243,"Sablefish",1.781,0.1688,93.9677273850979,0.6,"LSTpjuv Tpre Tspawn",1.05,1.164
"244",244,"Sablefish",1.584,0.4325,85.8479969867691,0.6,"LSTbjuv Tpre Tspawn",1.487,1.388
"245",245,"Sablefish",1.933,0.2052,93.6723262446808,0.4,"CSTegg Tpre Tspawn",1.334,1.581
"246",246,"Sablefish",1.749,0.1777,94.6691866891723,0.56,"CSTyolk Tpre Tspawn",1.212,1.239
"247",247,"Sablefish",1.727,0.0947,95.6726808949449,0.44,"CSTlarv Tpre Tspawn",1.457,1.32
"248",248,"Sablefish",2.038,0.2245,92.4358900616321,0.64,"CSTpjuv Tpre Tspawn",1.425,1.276
"249",249,"Sablefish",1.728,0.0979,95.582177295223,0.52,"CSTbjuv Tpre Tspawn",1.783,1.463
"250",250,"Sablefish",1.905,0.0732,96.2579635610958,0.32,"DDpjuv LSTegg Tpre",1.783,1.463
"251",251,"Sablefish",1.954,0.0866,95.941910895676,0.24,"DDpjuv LSTyolk Tpre",1.783,1.463
"252",252,"Sablefish",1.823,0.1057,95.3661249193014,0.36,"DDpjuv LSTlarv Tpre",1.783,1.463
"253",253,"Sablefish",1.862,0.0966,95.6181888962362,0.44,"DDpjuv LSTpjuv Tpre",1.783,1.463
"254",254,"Sablefish",1.562,0.3813,89.3413434199804,0.56,"DDpjuv LSTbjuv Tpre",1.487,1.388
"255",255,"Sablefish",2.165,0.1846,94.133171125147,0.28,"CSTegg DDpjuv Tpre",1.334,1.581
"256",256,"Sablefish",2.019,0.1449,95.3413889301712,0.2,"CSTyolk DDpjuv Tpre",1.212,1.239
"257",257,"Sablefish",1.817,0.1136,95.1437405235573,0.28,"CSTlarv DDpjuv Tpre",1.457,1.32
"258",258,"Sablefish",2.003,0.1507,94.7162375363275,0.4,"CSTpjuv DDpjuv Tpre",1.482,1.311
"259",259,"Sablefish",1.645,0.2308,91.5995085842807,0.4,"CSTbjuv DDpjuv Tpre",1.482,1.311
"260",260,"Sablefish",1.876,0.1066,96.5778944738781,0.32,"DDbjuv LSTegg Tpre",1.482,1.311
"261",261,"Sablefish",1.867,0.1219,96.1584150321625,0.28,"DDbjuv LSTyolk Tpre",1.482,1.311
"262",262,"Sablefish",1.811,0.135,95.6887937634328,0.36,"DDbjuv LSTlarv Tpre",1.487,1.388
"263",263,"Sablefish",1.729,0.177,94.3509784321887,0.48,"DDbjuv LSTpjuv Tpre",1.334,1.581
"264",264,"Sablefish",2.118,0.4198,88.1319490831376,0.68,"CSTegg DDbjuv Tpre",1.212,1.239
"265",265,"Sablefish",1.842,0.4124,89.3557735698385,0.56,"CSTyolk DDbjuv Tpre",1.457,1.32
"266",266,"Sablefish",1.84,0.2137,94.414762188664,0.32,"CSTlarv DDbjuv Tpre",1.291,1.209
"267",267,"Sablefish",1.869,0.2458,92.4928064594194,0.56,"CSTpjuv DDbjuv Tpre",1.05,1.164
"268",268,"Sablefish",1.71,0.0892,95.8440629089143,0.32,"LSTegg LSTpjuv Tpre",1.487,1.388
"269",269,"Sablefish",1.532,0.3145,90.5007899172781,0.52,"LSTbjuv LSTegg Tpre",1.334,1.581
"270",270,"Sablefish",1.764,0.1881,94.295255933887,0.32,"CSTegg LSTegg Tpre",1.212,1.239
"271",271,"Sablefish",1.669,0.1441,95.7052613077532,0.4,"CSTyolk LSTegg Tpre",1.457,1.32
"272",272,"Sablefish",1.682,0.0478,96.9338656865349,0.28,"CSTlarv LSTegg Tpre",1.425,1.276
"273",273,"Sablefish",1.85,0.1553,94.6774017982463,0.44,"CSTpjuv LSTegg Tpre",1.195,1.066
"274",274,"Sablefish",1.703,0.0606,96.5970953401966,0.4,"CSTbjuv LSTegg Tpre",1.05,1.164
"275",275,"Sablefish",1.825,0.105,95.7372557384663,0.32,"LSTpjuv LSTyolk Tpre",1.487,1.388
"276",276,"Sablefish",1.539,0.3759,89.3121871352931,0.48,"LSTbjuv LSTyolk Tpre",1.334,1.581
"277",277,"Sablefish",1.746,0.1987,93.9290269679943,0.4,"CSTegg LSTyolk Tpre",1.212,1.239
"278",278,"Sablefish",1.725,0.1445,95.6403868560017,0.28,"CSTyolk LSTyolk Tpre",1.457,1.32
"279",279,"Sablefish",1.754,0.0538,96.7763267969632,0.24,"CSTlarv LSTyolk Tpre",1.425,1.276
"280",280,"Sablefish",1.961,0.2061,93.8654394426867,0.44,"CSTpjuv LSTyolk Tpre",1.336,1.183
"281",281,"Sablefish",1.719,0.0678,96.4032613838635,0.36,"CSTbjuv LSTyolk Tpre",1.05,1.164
"282",282,"Sablefish",1.747,0.1308,95.3257682015413,0.4,"LSTlarv LSTpjuv Tpre",1.487,1.388
"283",283,"Sablefish",1.55,0.3197,90.2815173313251,0.52,"LSTbjuv LSTlarv Tpre",1.334,1.581
"284",284,"Sablefish",1.673,0.2528,92.2486447695506,0.44,"CSTegg LSTlarv Tpre",1.212,1.239
"285",285,"Sablefish",1.634,0.176,94.7177357985281,0.48,"CSTyolk LSTlarv Tpre",1.457,1.32
"286",286,"Sablefish",1.67,0.0646,96.4889715806151,0.32,"CSTlarv LSTlarv Tpre",1.425,1.276
"287",287,"Sablefish",1.857,0.1842,93.9805218615735,0.48,"CSTpjuv LSTlarv Tpre",1.487,1.388
"288",288,"Sablefish",1.709,0.0945,95.6779064324059,0.28,"CSTbjuv LSTlarv Tpre",1.334,1.581
"289",289,"Sablefish",1.828,0.2467,91.9843602307248,0.44,"CSTegg LSTpjuv Tpre",1.212,1.239
"290",290,"Sablefish",1.767,0.2627,93.7101710355805,0.24,"CSTyolk LSTpjuv Tpre",1.425,1.276
"291",291,"Sablefish",1.736,0.1358,95.1424304279355,0.32,"CSTlarv LSTpjuv Tpre",1.487,1.388
"292",292,"Sablefish",1.708,0.2665,91.2943630011478,0.52,"CSTbjuv LSTpjuv Tpre",1.334,1.581
"293",293,"Sablefish",1.379,0.5364,82.5717068244234,0.56,"CSTegg LSTbjuv Tpre",1.212,1.239
"294",294,"Sablefish",1.444,0.4436,86.8585926551414,0.52,"CSTyolk LSTbjuv Tpre",1.457,1.32
"295",295,"Sablefish",1.616,0.343,89.9162085023517,0.4,"CSTlarv LSTbjuv Tpre",1.425,1.276
"296",296,"Sablefish",1.732,0.3126,90.4269863831461,0.52,"CSTpjuv LSTbjuv Tpre",1.487,1.388
"297",297,"Sablefish",1.478,0.3834,87.8634311107562,0.4,"CSTbjuv LSTbjuv Tpre",1.425,1.276
"298",298,"Sablefish",1.968,0.256,91.4384140725836,0.44,"CSTegg CSTpjuv Tpre",1.457,1.32
"299",299,"Sablefish",1.874,0.2685,91.8845752256554,0.44,"CSTbjuv CSTegg Tpre",1.425,1.276
"300",300,"Sablefish",1.8,0.2925,92.8033032391191,0.48,"CSTpjuv CSTyolk Tpre",1.425,1.276
"301",301,"Sablefish",1.721,0.2162,93.5993707267699,0.44,"CSTbjuv CSTyolk Tpre",1.482,1.311
"302",302,"Sablefish",1.745,0.1095,95.2581374912124,0.44,"CSTbjuv CSTlarv Tpre",1.629,1.421
"303",303,"Sablefish",1.934,0.2187,94.3082331113273,0.4,"DDbjuv DDegg Tspawn",1.629,1.421
"304",304,"Sablefish",1.633,0.1503,95.4050140836934,0.4,"DDegg MLDegg Tspawn",1.629,1.421
"305",305,"Sablefish",1.622,0.1828,94.6037615174514,0.44,"DDegg LSTegg Tspawn",1.629,1.421
"306",306,"Sablefish",1.685,0.129,95.839385757652,0.44,"DDegg LSTyolk Tspawn",1.629,1.421
"307",307,"Sablefish",1.65,0.127,95.6498830548495,0.44,"DDegg LSTlarv Tspawn",1.629,1.421
"308",308,"Sablefish",1.64,0.2314,92.9836635730195,0.44,"DDegg LSTpjuv Tspawn",1.487,1.388
"309",309,"Sablefish",1.642,0.4004,87.6702373417203,0.48,"DDegg LSTbjuv Tspawn",1.334,1.581
"310",310,"Sablefish",1.761,0.2412,93.2320484593538,0.44,"CSTegg DDegg Tspawn",1.212,1.239
"311",311,"Sablefish",1.525,0.2864,92.716444377199,0.52,"CSTyolk DDegg Tspawn",1.457,1.32
"312",312,"Sablefish",1.626,0.1643,94.8387154551068,0.48,"CSTlarv DDegg Tspawn",1.425,1.276
"313",313,"Sablefish",1.608,0.3037,91.1338018224629,0.68,"CSTpjuv DDegg Tspawn",1.482,1.311
"314",314,"Sablefish",1.792,0.1211,95.4765531095268,0.36,"CSTbjuv DDegg Tspawn",1.482,1.311
"315",315,"Sablefish",1.946,0.1574,95.8530520872157,0.36,"DDbjuv DDegg MLDegg",1.482,1.311
"316",316,"Sablefish",1.882,0.1801,95.4509430881746,0.36,"DDbjuv DDegg LSTegg",1.482,1.311
"317",317,"Sablefish",1.899,0.1402,95.9347796823152,0.24,"DDbjuv DDegg LSTyolk",1.482,1.311
"318",318,"Sablefish",1.826,0.1397,95.6408930513661,0.28,"DDbjuv DDegg LSTlarv",1.487,1.388
"319",319,"Sablefish",1.713,0.2002,93.6620160799168,0.52,"DDbjuv DDegg LSTpjuv",1.334,1.581
"320",320,"Sablefish",1.955,0.3962,89.0405010355672,0.6,"CSTegg DDbjuv DDegg",1.212,1.239
"321",321,"Sablefish",1.763,0.4522,87.6861621119624,0.56,"CSTyolk DDbjuv DDegg",1.457,1.32
"322",322,"Sablefish",1.811,0.2564,93.5163759415977,0.44,"CSTlarv DDbjuv DDegg",1.629,1.421
"323",323,"Sablefish",1.729,0.2688,91.8342398099157,0.56,"CSTpjuv DDbjuv DDegg",1.629,1.421
"324",324,"Sablefish",1.755,0.0662,97.252453459102,0.08,"DDegg LSTyolk MLDegg",1.629,1.421
"325",325,"Sablefish",1.662,0.0549,97.0289074715121,0.28,"DDegg LSTlarv MLDegg",1.629,1.421
"326",326,"Sablefish",1.654,0.1298,95.3181153303078,0.4,"DDegg LSTpjuv MLDegg",1.487,1.388
"327",327,"Sablefish",1.55,0.3051,90.8329162600091,0.56,"DDegg LSTbjuv MLDegg",1.334,1.581
"328",328,"Sablefish",1.645,0.358,91.5555045975075,0.36,"CSTegg DDegg MLDegg",1.212,1.239
"329",329,"Sablefish",1.548,0.2309,94.375877512932,0.36,"CSTyolk DDegg MLDegg",1.457,1.32
"330",330,"Sablefish",1.688,0.0994,96.3244514926395,0.28,"CSTlarv DDegg MLDegg",1.425,1.276
"331",331,"Sablefish",1.681,0.2096,93.9375663862026,0.4,"CSTpjuv DDegg MLDegg",1.629,1.421
"332",332,"Sablefish",1.697,0.0713,96.3106088216748,0.32,"CSTbjuv DDegg MLDegg",1.629,1.421
"333",333,"Sablefish",1.59,0.1874,94.2133169165536,0.44,"DDegg LSTegg LSTpjuv",1.487,1.388
"334",334,"Sablefish",1.551,0.3357,90.3257303064601,0.52,"DDegg LSTbjuv LSTegg",1.334,1.581
"335",335,"Sablefish",1.778,0.1936,94.2640040179287,0.32,"CSTegg DDegg LSTegg",1.212,1.239
"336",336,"Sablefish",1.559,0.2586,93.618445618616,0.48,"CSTyolk DDegg LSTegg",1.457,1.32
"337",337,"Sablefish",1.613,0.1617,95.0733520977166,0.48,"CSTlarv DDegg LSTegg",1.425,1.276
"338",338,"Sablefish",1.65,0.2177,93.6592808013195,0.4,"CSTpjuv DDegg LSTegg",1.629,1.421
"339",339,"Sablefish",1.749,0.1032,96.0367669969798,0.4,"CSTbjuv DDegg LSTegg",1.629,1.421
"340",340,"Sablefish",1.767,0.1472,95.0615781747152,0.32,"DDegg LSTpjuv LSTyolk",1.487,1.388
"341",341,"Sablefish",1.563,0.3742,89.4340964607558,0.56,"DDegg LSTbjuv LSTyolk",1.334,1.581
"342",342,"Sablefish",1.693,0.1969,93.9629627811985,0.36,"CSTegg DDegg LSTyolk",1.212,1.239
"343",343,"Sablefish",1.634,0.2313,94.3477486338528,0.36,"CSTyolk DDegg LSTyolk",1.457,1.32
"344",344,"Sablefish",1.743,0.1046,96.2053708411215,0.24,"CSTlarv DDegg LSTyolk",1.425,1.276
"345",345,"Sablefish",1.796,0.226,93.6340089569842,0.48,"CSTpjuv DDegg LSTyolk",1.629,1.421
"346",346,"Sablefish",1.696,0.074,96.2361264354021,0.32,"CSTbjuv DDegg LSTyolk",1.629,1.421
"347",347,"Sablefish",1.715,0.1362,95.2269315251698,0.32,"DDegg LSTlarv LSTpjuv",1.487,1.388
"348",348,"Sablefish",1.582,0.3117,90.571617587126,0.52,"DDegg LSTbjuv LSTlarv",1.334,1.581
"349",349,"Sablefish",1.573,0.252,92.2710030378149,0.44,"CSTegg DDegg LSTlarv",1.212,1.239
"350",350,"Sablefish",1.567,0.2195,94.3249979484339,0.4,"CSTyolk DDegg LSTlarv",1.457,1.32
"351",351,"Sablefish",1.664,0.0962,96.2521537925377,0.32,"CSTlarv DDegg LSTlarv",1.425,1.276
"352",352,"Sablefish",1.705,0.1977,93.8790892496813,0.44,"CSTpjuv DDegg LSTlarv",1.487,1.388
"353",353,"Sablefish",1.682,0.095,95.6628886557914,0.32,"CSTbjuv DDegg LSTlarv",1.334,1.581
"354",354,"Sablefish",1.735,0.2339,92.2708682382874,0.44,"CSTegg DDegg LSTpjuv",1.212,1.239
"355",355,"Sablefish",1.625,0.3178,92.5493365924599,0.48,"CSTyolk DDegg LSTpjuv",1.425,1.276
"356",356,"Sablefish",1.71,0.165,94.6793788644585,0.36,"CSTlarv DDegg LSTpjuv",1.487,1.388
"357",357,"Sablefish",1.7,0.271,90.9782854002087,0.48,"CSTbjuv DDegg LSTpjuv",1.334,1.581
"358",358,"Sablefish",1.282,0.5405,82.363422447551,0.6,"CSTegg DDegg LSTbjuv",1.212,1.239
"359",359,"Sablefish",1.451,0.4344,87.2357456413868,0.52,"CSTyolk DDegg LSTbjuv",1.457,1.32
"360",360,"Sablefish",1.658,0.3267,90.2776575324018,0.48,"CSTlarv DDegg LSTbjuv",1.425,1.276
"361",361,"Sablefish",1.591,0.3058,90.6595209075948,0.56,"CSTpjuv DDegg LSTbjuv",1.487,1.388
"362",362,"Sablefish",1.475,0.3869,87.7116374586634,0.4,"CSTbjuv DDegg LSTbjuv",1.425,1.276
"363",363,"Sablefish",1.71,0.249,91.541470446238,0.4,"CSTegg CSTpjuv DDegg",1.457,1.32
